ELLEN,19926.0
AUGUSTO,19874.0
LUCIANA,19660.0
IZABELA,19476.0
ESTEFANE,19238.0
GRAZIELE,19099.0
PIETRO,18797.0
ISABELI,18660.0
PRISCILA,18574.0
NATALI,18559.0
RAISA,18468.0
JOSUE,18464.0
HEITOR,18347.0
MAYARA,18206.0
POLIANA,18041.0
ROBERTO,17988.0
JONATAS,17904.0
ISAQUE,17830.0
RAYANE,17791.0
ISRAEL,17717.0
RAMON,17701.0
EZEQUIEL,17695.0
LAISA,17688.0
KARINA,17682.0
ICARO,17668.0
SERGIO,17544.0
EVELYN,17513.0
ADRIANA,17237.0
MANOEL,17195.0
WANDERSON,17060.0
ISAC,17026.0
YAN,16977.0
AGATA,16958.0
MICHAEL,16941.0
HELENA,16841.0
ELAINE,16839.0
NICOLI,16822.0
YAGO,16782.0
ANE,16705.0
ROBERT,16686.0
LAIANE,16669.0
VERONICA,16628.0
MONIQUE,16519.0
RAYSSA,16243.0
CLAUDIO,16121.0
GEAN,16039.0
WENDEL,15916.0
ISMAEL,15874.0
ADRIEL,15808.0
DEIVID,15475.0
LAILA,15461.0
NATHALIA,15453.0
MAIRA,15430.0
PATRICK,15279.0
IURI,15051.0
DENILSON,14984.0
JONATHAN,14823.0
MANOELA,14799.0
KAIKE,14760.0
CRISTIANO,14711.0
VALERIA,14679.0
TALIA,14641.0
SUELEN,14551.0
CAUANE,14508.0
KELVIN,14505.0
MICHEL,14482.0
ISABELLE,14463.0
JONATA,14459.0
MILENE,14459.0
ALICIA,14350.0
CECILIA,14222.0
CAROLAINE,14066.0
GEOVANNA,14038.0
RIQUELME,14037.0
BEATRIS,14017.0
CAMILI,13968.0
GEOVANE,13916.0
MIRIAN,13884.0
GUILERME,13842.0
MIKAEL,13821.0
HELEN,13693.0
ARIEL,13597.0
RONALDO,13575.0
TATIANE,13561.0
LUDIMILA,13540.0
IRIS,13506.0
KELLY,13457.0
ISAAC,13415.0
JHONATAN,13323.0
STEFANY,13295.0
ERIKA,13259.0
RAUL,13184.0
RAI,13182.0
LARISA,13163.0
CINTIA,13081.0
GABRIELLE,12998.0
RONALD,12991.0
GIULIA,12948.0
JENNIFER,12894.0
MARIO,12744.0
ANGELA,12734.0
TALES,12717.0
RAIMUNDO,12709.0
VIVIAN,12705.0
JULIANO,12697.0
TAIANE,12668.0
GABRIELLY,12639.0
RITA,12631.0
WELITON,12599.0
JULIANE,12396.0
CICERO,12252.0
WILLIAM,12240.0
ANGELO,12222.0
MONICA,12183.0
CESAR,12147.0
FABIANO,12096.0
TAMARA,12010.0
PIETRA,11984.0
MARCIA,11956.0
LEVI,11923.0
ELOA,11898.0
ROGERIO,11871.0
ANGELICA,11757.0
ANDREIA,11692.0
ISAIAS,11673.0
KEILA,11437.0
NAYARA,11412.0
ANDREZA,11408.0
VAGNER,11403.0
NATHAN,11378.0
JACKSON,11318.0
ROGER,11297.0
ALVARO,11294.0
ALEXANDRA,11292.0
JEOVANA,11284.0
LORRANE,11271.0
MARILIA,11217.0
CRISTIANE,11091.0
CARINE,11090.0
WELLINGTON,11075.0
MICAELE,11016.0
CLARICE,10997.0
JAINE,10927.0
KETLIN,10912.0
MAYCON,10755.0
ANDRESA,10640.0
GRAZIELA,10624.0
ALEXANDRO,10616.0
ISABELLY,10554.0
IVAN,10464.0
TAUANE,10417.0
BRYAN,10301.0
JOAQUIM,10290.0
JOYCE,10182.0
JOEL,10178.0
